Age,Both sexes,Both sexes,Male,Male,Female,Female
Age groups,Number,Percent,Number,Percent,Number,Percent
All ages,304280.00,100.00,149485.00,100.00,154795.00,100.00
   .Under 5 years,21434.00,7.00,10955.00,7.30,10479.00,6.80
   .5 to 9 years,20785.00,6.80,10624.00,7.10,10162.00,6.60
   .10 to 14 years,19893.00,6.50,10178.00,6.80,9714.00,6.30
   .15 to 19 years,21086.00,6.90,10719.00,7.20,10367.00,6.70
   .20 to 24 years,21154.00,7.00,10684.00,7.10,10470.00,6.80
   .25 to 29 years,21453.00,7.10,10928.00,7.30,10525.00,6.80
   .30 to 34 years,19632.00,6.50,9761.00,6.50,9871.00,6.40
   .35 to 39 years,19888.00,6.50,9902.00,6.60,9986.00,6.50
   .40 to 44 years,20559.00,6.80,10172.00,6.80,10387.00,6.70
   .45 to 49 years,22527.00,7.40,11092.00,7.40,11435.00,7.40
   .50 to 54 years,21860.00,7.20,10692.00,7.20,11169.00,7.20
   .55 to 59 years,19172.00,6.30,9318.00,6.20,9854.00,6.40
   .60 to 64 years,16223.00,5.30,7667.00,5.10,8556.00,5.50
   .65 to 69 years,12020.00,4.00,5672.00,3.80,6349.00,4.10
   .70 to 74 years,8936.00,2.90,4063.00,2.70,4873.00,3.10
   .75 to 79 years,7181.00,2.40,3020.00,2.00,4161.00,2.70
   .80 to 84 years,5783.00,1.90,2408.00,1.60,3375.00,2.20
   .85 years and over,4693.00,1.50,1631.00,1.10,3062.00,2.00
, , , , , , 
   .Under 15 years,62112.00,20.40,31757.00,21.20,30355.00,19.60
   .15 to 17 years,12928.00,4.20,6566.00,4.40,6361.00,4.10
   .18 to 20 years,12542.00,4.10,6365.00,4.30,6177.00,4.00
   .21 to 44 years,98303.00,32.30,49236.00,32.90,49068.00,31.70
   .45 to 64 years,79782.00,26.20,38768.00,25.90,41014.00,26.50
   .65 years and over,38613.00,12.70,16793.00,11.20,21820.00,14.10
,,,,,,
Median age,36.70,(X),35.50,(X),37.90,(X)
