Age,Both sexes,Both sexes,Male,Male,Female,Female
Age groups,Number,Percent,Number,Percent,Number,Percent
All ages,313401.00,100.00,153595.00,100.00,159806.00,100.00
   .Under 5 years,19865.00,6.30,10154.00,6.60,9711.00,6.10
   .5 to 9 years,20522.00,6.50,10483.00,6.80,10039.00,6.30
   .10 to 14 years,20642.00,6.60,10545.00,6.90,10097.00,6.30
   .15 to 19 years,20807.00,6.60,10585.00,6.90,10221.00,6.40
   .20 to 24 years,22278.00,7.10,11243.00,7.30,11035.00,6.90
   .25 to 29 years,21474.00,6.90,10822.00,7.00,10653.00,6.70
   .30 to 34 years,20974.00,6.70,10377.00,6.80,10598.00,6.60
   .35 to 39 years,19407.00,6.20,9555.00,6.20,9852.00,6.20
   .40 to 44 years,20382.00,6.50,10037.00,6.50,10345.00,6.50
   .45 to 49 years,20668.00,6.60,10148.00,6.60,10520.00,6.60
   .50 to 54 years,22355.00,7.10,10908.00,7.10,11447.00,7.20
   .55 to 59 years,21109.00,6.70,10193.00,6.60,10916.00,6.80
   .60 to 64 years,18440.00,5.90,8812.00,5.70,9627.00,6.00
   .65 to 69 years,14986.00,4.80,7093.00,4.60,7893.00,4.90
   .70 to 74 years,10805.00,3.40,4980.00,3.20,5825.00,3.60
   .75 to 79 years,7804.00,2.50,3374.00,2.20,4429.00,2.80
   .80 to 84 years,5627.00,1.80,2383.00,1.60,3244.00,2.00
   .85 years and over,5255.00,1.70,1901.00,1.20,3354.00,2.10
   .Under 15 years,61029.00,19.50,31182.00,20.30,29847.00,18.70
   .15 to 17 years,12924.00,4.10,6532.00,4.30,6392.00,4.00
   .18 to 20 years,12249.00,3.90,6222.00,4.10,6027.00,3.80
   .21 to 44 years,100150.00,32.00,49866.00,32.50,50284.00,31.50
   .45 to 64 years,82572.00,26.30,40062.00,26.10,42511.00,26.60
   .65 years and over,44477.00,14.20,19731.00,12.80,24745.00,15.50
Median age,37.60,0,36.40,0,38.80,0
